Country,Region,Density,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital,Currency-Code,Forested Area (%),Largest city,Life expectancy,Official language
Luxembourg,WESTERN EUROPE                     ,242,0.537,2586,2000,10.3,352,Luxembourg City,EUR,0.357,Luxembourg City,82.1,Luxembourgish
Madagascar,SUB-SAHARAN AFRICA                 ,48,0.712,587041,22000,32.66,261,Antananarivo,MGA,0.214,Antananarivo,66.7,French
Malawi,SUB-SAHARAN AFRICA                 ,203,0.614,118484,15000,34.12,265,Lilongwe,MWK,0.332,Lilongwe,63.8,English
Malaysia,ASIA         ,99,0.263,329847,136000,16.75,60,Kuala Lumpur,MYR,0.676,Johor Bahru,76,Malaysian language
Maldives,ASIA         ,1802,0.263,298,5000,14.2,960,Male,,0.033,Male,78.6,Divehi
Mali,SUB-SAHARAN AFRICA                 ,17,0.338,1240192,18000,41.54,223,Bamako,XOF,0.038,Bamako,58.9,French
Malta,WESTERN EUROPE                     ,1380,0.324,316,2000,9.2,356,Valletta,EUR,0.011,Birkirkara,82.3,Maltese
Marshall Islands,OCEANIA                            ,329,0.639,181,,29.03,692,Majuro,USD,0.702,Majuro,65.2,Marshallese
Mauritania,SUB-SAHARAN AFRICA                 ,5,0.385,1030700,21000,33.69,222,Nouakchott,MRU,0.002,Nouakchott,64.7,Arabic
Mauritius,SUB-SAHARAN AFRICA                 ,626,0.424,2040,3000,10.2,230,Port Louis,MUR,0.19,Port Louis,74.4,French
Mexico,LATIN AMER. & CARIB    ,66,0.546,1964375,336000,17.6,52,Mexico City,MXN,0.339,Mexico City,75,None
Federated States of Micronesia,OCEANIA                            ,784,0.314,702,,22.82,691,Palikir,USD,0.919,Palikir,67.8,English
Moldova,C.W. OF IND. STATES ,123,0.742,33851,7000,10.1,373,Chisinau,MDL,0.126,Chisinau,71.8,Romanian
Monaco,WESTERN EUROPE                     ,26337,,2,,5.9,377,Monaco City,EUR,,Monaco City,,French
Mongolia,ASIA         ,2,0.715,1564116,18000,24.13,976,Ulaanbaatar,MNT,0.08,Ulaanbaatar,69.7,Mongolian
Montenegro,EASTERN EUROPE                     ,47,0.19,13812,12000,11.73,382,Podgorica,EUR,0.615,Podgorica,76.8,Montenegrin language
Morocco,NORTHERN AFRICA                    ,83,0.685,446550,246000,18.94,212,Rabat,MAD,0.126,Casablanca,76.5,Arabic
Mozambique,SUB-SAHARAN AFRICA                 ,40,0.635,799380,11000,37.52,258,Maputo,MZN,0.48,Maputo,60.2,Portuguese
Myanmar,ASIA         ,83,0.195,676578,513000,17.55,95,Naypyidaw,MMK,0.436,Yangon,66.9,Burmese
Namibia,SUB-SAHARAN AFRICA                 ,3,0.471,824292,16000,28.64,264,Windhoek,,0.083,Windhoek,63.4,English
Nauru,OCEANIA                            ,541,,21,,,674,Yaren District,AUD,,Yaren,,English
Nepal,ASIA         ,203,0.287,147181,112000,19.89,977,Kathmandu,NPR,0.254,Kathmandu,70.5,Nepali
Netherlands,WESTERN EUROPE                     ,508,0.533,41543,41000,9.7,31,Amsterdam,,0.112,Amsterdam,81.8,Dutch
New Zealand,OCEANIA                            ,18,0.405,268838,9000,11.98,64,Wellington,NZD,0.386,Auckland,81.9,English
Nicaragua,LATIN AMER. & CARIB    ,55,0.421,130370,12000,20.64,505,Managua,NIO,0.259,Managua,74.3,Spanish
Niger,SUB-SAHARAN AFRICA                 ,19,0.361,1267000,10000,46.08,227,Niamey,XOF,0.009,Niamey,62,French
Nigeria,SUB-SAHARAN AFRICA                 ,226,0.777,923768,215000,37.91,234,Abuja,NGN,0.072,Lagos,54.3,English
North Korea,ASIA         ,214,0.218,120538,1469000,13.89,850,Pyongyang,KPW,0.407,Pyongyang,72.1,Korean
North Macedonia,EASTERN EUROPE                     ,83,,25713,,,389,Skopje,MKD,,Skopje,,Macedonian
Norway,WESTERN EUROPE                     ,15,0.027,323802,23000,10.4,47,Oslo,NOK,0.332,Oslo,82.8,Norwegian
Oman,NEAR EAST                          ,16,0.046,309500,47000,19.19,968,Muscat,OMR,0,Seeb,77.6,Arabic
Pakistan,ASIA         ,287,0.478,796095,936000,28.25,92,Islamabad,PKR,0.019,Karachi,67.1,Urdu
Palau,OCEANIA                            ,39,0.109,459,,14,680,Ngerulmud,USD,0.876,Koror,69.1,English
Palestine,NEAR EAST                          ,847,,,,,,Jerusalem,,,,,Arabic
Panama,LATIN AMER. & CARIB    ,58,0.304,75420,26000,18.98,507,Panama City,,0.619,Panama City,78.3,Spanish
Papua New Guinea,OCEANIA                            ,20,0.026,462840,4000,27.07,675,Port Moresby,PGK,0.741,Port Moresby,64.3,Tok Pisin
Paraguay,LATIN AMER. & CARIB    ,18,0.551,406752,27000,20.57,595,Asuncion,PYG,0.377,Ciudad del Este,74.1,Spanish
Peru,LATIN AMER. & CARIB    ,26,0.185,1285216,158000,17.95,51,Lima,PEN,0.577,Lima,76.5,Spanish
Philippines,ASIA         ,368,0.417,300000,153000,20.55,63,Manila,PHP,0.278,Manila,71.1,English
Poland,EASTERN EUROPE                     ,124,0.469,312685,191000,10.2,48,Warsaw,PLN,0.309,Warsaw,77.6,Polish
Portugal,WESTERN EUROPE                     ,111,0.395,92212,52000,8.5,351,Lisbon,EUR,0.346,Lisbon,81.3,Portuguese
Qatar,NEAR EAST                          ,248,0.058,11586,22000,9.54,974,Doha,QAR,0,Doha,80.1,Arabic
Romania,EASTERN EUROPE                     ,84,0.588,238391,126000,9.6,40,Bucharest,RON,0.301,Bucharest,75.4,Romanian
Russia,C.W. OF IND. STATES ,9,0.133,17098240,1454000,11.5,7,Moscow,RUB,0.498,Moscow,72.7,Russian
Rwanda,SUB-SAHARAN AFRICA                 ,525,0.734,26338,35000,31.7,250,Kigali,RWF,0.197,Kigali,68.7,Swahili
Saint Kitts and Nevis,LATIN AMER. & CARIB    ,205,0.231,261,,12.6,1,Basseterre,XCD,0.423,Basseterre,71.3,English
Saint Lucia,LATIN AMER. & CARIB    ,301,0.174,616,,12,1,Castries,XCD,0.332,Castries,76.1,English
Saint Vincent and the Grenadines,LATIN AMER. & CARIB    ,284,0.256,389,,14.24,1,Kingstown,XCD,0.692,Calliaqua,72.4,English
Samoa,OCEANIA                            ,70,0.124,2831,,24.38,685,Apia,WST,0.604,Apia,73.2,Samoan
San Marino,WESTERN EUROPE                     ,566,0.167,61,,6.8,378,City of San Marino,EUR,0,City of San Marino,85.4,Italian
Sao tome and principe,SUB-SAHARAN AFRICA                 ,228,0.507,964,1000,31.54,239,Sao tome,STN,0.558,Sao tome,70.2,
Saudi Arabia,NEAR EAST                          ,16,0.808,2149690,252000,17.8,966,Riyadh,SAR,0.005,Riyadh,75,Arabic
Senegal,SUB-SAHARAN AFRICA                 ,87,0.461,196722,19000,34.52,221,Dakar,XOF,0.428,Pikine,67.7,French
Serbia,EASTERN EUROPE                     ,100,0.393,77474,32000,9.2,381,Belgrade,RSD,0.311,Belgrade,75.5,Serbian
Seychelles,SUB-SAHARAN AFRICA                 ,214,0.034,455,0,17.1,248,"Victoria, Seychelles",SCR,0.884,"Victoria, Seychelles",72.8,French
Sierra Leone,SUB-SAHARAN AFRICA                 ,111,0.547,71740,9000,33.41,232,Freetown,SLL,0.431,Freetown,54.3,English
Singapore,ASIA         ,8358,0.009,716,81000,8.8,65,Singapore,SGD,0.231,Singapore,83.1,Malay
Slovakia,EASTERN EUROPE                     ,114,0.392,49035,16000,10.6,421,Bratislava,EUR,0.404,Bratislava,77.2,Slovak
Slovenia,EASTERN EUROPE                     ,103,0.307,20273,7000,9.4,386,Ljubljana,EUR,0.62,Ljubljana,81,Slovene language
Solomon Islands,OCEANIA                            ,25,0.039,28896,,32.44,677,Honiara,SBD,0.779,Honiara,72.8,English
Somalia,SUB-SAHARAN AFRICA                 ,25,0.703,637657,20000,41.75,252,Mogadishu,SOS,0.1,Bosaso,57.1,Arabic
South Africa,SUB-SAHARAN AFRICA                 ,49,0.798,1219090,80000,20.51,27,Pretoria,ZAR,0.076,Johannesburg,63.9,Afrikaans
South Korea,ASIA         ,527,0.174,99720,634000,6.4,82,Seoul,KRW,0.634,Seoul,82.6,Korean
South Sudan,SUB-SAHARAN AFRICA                 ,18,,644329,185000,35.01,211,Juba,SSP,,Juba,57.6,English
Spain,WESTERN EUROPE                     ,94,0.526,505370,196000,7.9,34,Madrid,EUR,0.369,Madrid,83.3,Spanish
Sri Lanka,ASIA         ,341,0.437,65610,317000,15.83,94,Colombo,LKR,0.329,Colombo,76.8,Tamil
Sudan,SUB-SAHARAN AFRICA                 ,25,0.287,1861484,124000,32.18,249,Khartoum,SDG,0.081,Omdurman,65.1,Arabic
Suriname,LATIN AMER. & CARIB    ,4,0.006,163820,2000,18.54,597,Paramaribo,SRD,0.983,Paramaribo,71.6,Dutch
Sweden,WESTERN EUROPE                     ,25,0.074,450295,30000,11.4,46,Stockholm,SEK,0.689,Stockholm,82.5,Swedish
Switzerland,WESTERN EUROPE                     ,219,0.384,41277,21000,10,41,Bern,CHF,0.318,Zurich,83.6,German
Syria,NEAR EAST                          ,95,0.758,185180,239000,23.69,963,Damascus,SYP,0.027,Damascus,71.8,Arabic
Tajikistan,C.W. OF IND. STATES ,68,0.341,144100,17000,30.76,992,Dushanbe,TJS,0.03,Dushanbe,70.9,Persian
Tanzania,SUB-SAHARAN AFRICA                 ,67,0.448,947300,28000,36.7,255,Dodoma,TZS,0.516,Dar es Salaam,65,Swahili
Thailand,ASIA         ,137,0.433,513120,455000,10.34,66,Bangkok,THB,0.322,Bangkok,76.9,Thai
East Timor,ASIA         ,89,0.256,14874,2000,29.42,670,Dili,USD,0.454,Dili,69.3,Portuguese
Togo,SUB-SAHARAN AFRICA                 ,152,0.702,56785,10000,33.11,228,Lome,XOF,0.031,Lome,60.8,French
